username,natives,learning
jameslio,Traditional Chinese (Taiwan),"English (US),Japanese,Traditional Chinese (Hong Kong)"
rindrops,English (UK),Japanese
jakubzajac,Polish,English (UK)
sjurdur,Faroese,Portuguese (Brazil)
lesliecamay,English (US),"Dutch,Spanish (Spain)"
pedroman81,English (US),"French (Canada),French (France),Korean,Portuguese (Brazil)"
JenniferMendoza1212,Spanish (Spain),"English (US),Korean"
Kblca,Russian,"English (US),Lithuanian,Norwegian (bokmal)"
hedykuo,Traditional Chinese (Taiwan),English (US)
Alexa2017,English (US),English (US)
kuba1,Polish,"Czech,Danish,Dutch,Finnish,Norwegian (bokmal),Slovak,Slovenian"
Balkaria91,Russian,Korean
jadlocon,English (US),English (US)
Polifemo,Portuguese (Brazil),"English (US),French (France),Italian,Japanese,Simplified Chinese (China)"
foyoarnel,"Arabic,English (US)",Spanish (Spain)
lengmo8365,Simplified Chinese (China),"English (US),Russian"
LittleDoggie,Spanish (Spain),"English (US),German,Japanese"
lerika30082004,Russian,"English (US),Japanese"
Asyaran,Russian,"English (UK),Korean,Simplified Chinese (China)"
jj17jj59,Russian,English (UK)
pz2627,Traditional Chinese (Taiwan),Japanese
Demon8,"English (US),Simplified Chinese (China)",English (US)
turkawkaa,Polish,"English (UK),English (US),Spanish (Spain)"
lFranzl,Russian,English (UK)
Julia58,Polish,"English (US),French (France),Vietnamese"
JoaoMarcos,Portuguese (Brazil),"English (US),Portuguese (Portugal)"
agnieszkatulacz,Polish,English (US)
lala_linetty,English (US),"French (France),Tagalog,Spanish (Mexico)"
Intriguechaos,Russian,English (UK)
Wendy1234,Simplified Chinese (China),"English (US),Japanese"
fattaafette,Italian,"English (UK),English (US)"
Ronald123,Spanish (Chile),Japanese
pavlovadasha06,Russian,Norwegian (bokmal)
milatrbl,Spanish (Chile),English (US)
Brightblack3,Polish,"Croatian,English (US),French (France),German,Italian,Russian"
nebalhoms42,"Arabic,English (US)",Korean
Anna1101,Polish,"English (US),Italian"
Rebeca93,English (US),English (US)
Zou957270,Simplified Chinese (China),"English (US),French (Canada),Japanese,Korean"
keisakuyoko,Vietnamese,English (US)
thamy123345,Portuguese (Brazil),Korean
Kamila2658,Polish,English (US)
mori425106,Russian,"Japanese,Norwegian (bokmal),Norwegian (nynorsk),English (UK)"
bunengshuo,Korean,Simplified Chinese (China)
EmilieQqc_h,French (France),"English (UK),Spanish (Spain)"
Jah,English (US),"German,Korean,Spanish (Spain)"
moreno98julian,Spanish (Colombia),English (US)
idyllic929,Traditional Chinese (Taiwan),"English (US),German,Spanish (Spain)"
ka10ty07,Traditional Chinese (Taiwan),"English (US),Japanese,Thai"
SandraGorr,Polish,English (US)
mhm,Arabic,English (US)
WeronikaPil,Polish,English (US)
dawidox87,Polish,"English (US),Czech"
Viktoriaaaaa,Russian,English (US)
soleil0830,Simplified Chinese (China),"English (US),Japanese"
kingamaruszak,Polish,French (France)
_Mariaa1502,Spanish (Spain),Korean
chavador55,Spanish (Mexico),English (US)
Albi_Doo,English (US),"Spanish (Spain),Tagalog"
kamilo9601,Polish,English (US)
Makosinho,Russian,"English (UK),Spanish (Spain)"
kittentail,Indonesian,"English (US),French (France),Korean"
CataRodri,Spanish (Colombia),"English (US),French (France)"
ff82f5b0ea5c4af,"Russian,Ukrainian","English (US),German"
rainbow_sunrise,Russian,"English (US),Swedish,French (France)"
SOOOOOOOOOOOOOnya,Russian,English (UK)
cellesanch,"English (US),Tagalog","Croatian,Danish,English (US),French (France),German"
busagi1410,Polish,"English (US),French (France),Japanese,Russian"
Caroool777,Traditional Chinese (Taiwan),"English (US),French (France),Japanese"
Yesmanova,"Kazakh,Russian","English (US),German,Portuguese (Brazil),Spanish (Spain),Turkish"
kxtomaszewski,Polish,"English (UK),Spanish (Spain),Kiswahili,Ukrainian"
dankaiba125,Spanish (Mexico),"English (US),German,Japanese"
luissatan16,Spanish (Spain),English (US)
ramymh,Arabic,Bulgarian
Siavash2015,Persian,Turkish
jeffreykuo1127,Traditional Chinese (Taiwan),English (US)
yasemin_17,Turkish,"English (US),German,Korean,English (UK)"
C7_4K,Polish,English (US)
blackdasha,"Russian,Ukrainian","English (US),Japanese,Norwegian (bokmal),Norwegian (nynorsk)"
Keavey_Jeon,English (UK),"Korean,Spanish (Spain)"
marinettemarte,English (US),Spanish (Mexico)
iheartahyen,English (US),"English (US),Finnish,French (France),German,Japanese,Korean,Norwegian (bokmal)"
Kanikagupta,Hindi,English (UK)
alyssagarcia497,"English (US),Tagalog","Spanish (Mexico),Spanish (Spain)"
mitsuoooo,English (US),English (US)
Jeejhana,"Arabic,English (UK)","French (France),Korean"
Kriksa64,Russian,German
InessaM,Russian,"Japanese,English (US)"
Shuk,"Traditional Chinese (Hong Kong),Traditional Chinese (Taiwan)","English (US),Korean"
ElizavetaSavchenko,Russian,English (UK)
chynacabral,Tagalog,Spanish (Chile)
mafia,Polish,"English (US),Korean"
Darth_Macky,"English (US),Tagalog","Japanese,Simplified Chinese (China),Spanish (Spain),Traditional Chinese (Hong Kong)"
Rodrick7,English (US),"Arabic,English (US),Hindi,Tamil"
lightningandserah,Italian,"English (US),Japanese,Korean,English (UK)"
long0503,Simplified Chinese (China),English (US)
Feedup4,"English (US),Tagalog","Arabic,Spanish (Spain),Traditional Chinese (Hong Kong),Afrikaans,Portuguese (Portugal)"
112015,"English (US),Tagalog","French (Canada),Spanish (Spain),German,Malay"
SoniaG,Polish,"English (US),French (France),Japanese"
Andreastefannia,Spanish (Colombia),"English (UK),Portuguese (Brazil)"
DelisleYves,French (Canada),"Spanish (Mexico),Spanish (Spain)"
AgiS2,Russian,English (US)
lilyminkova,English (US),French (France)
maciekkaleta8,Polish,English (US)
IvyYai,Spanish (Spain),"English (UK),French (France),Japanese"
alienisrose,Polish,English (US)
KpopBTS,English (US),Korean
Gumion,English (US),English (US)
nickwang,Simplified Chinese (China),English (US)
nickwang,Simplified Chinese (China),English (US)
dudarevamaria2,Russian,English (UK)
ReemaReRe,"Arabic,English (US)",Japanese
nathanielpanganiban,English (US),Arabic
Canifre,English (US),Japanese
ulfa,English (US),English (US)
annasemak1992,"Russian,Ukrainian","English (US),Korean"
J-0707,Traditional Chinese (Taiwan),English (US)
emakzexD,Portuguese (Brazil),Japanese
alex8767,Russian,English (US)
tadek11,Polish,English (US)
vanni_viana,Spanish (Spain),"English (US),Korean"
al_bessonov,Russian,English (US)
laryssareyna1,Portuguese (Brazil),"English (US),Korean"
Giovanny,Spanish (Colombia),Japanese
gabrielita240,Spanish (Colombia),English (US)
a8335607,Traditional Chinese (Taiwan),Japanese
SmokingGun_,Russian,English (US)
gen2903,Russian,Korean
gomunya,Russian,"English (US),French (France),Japanese"
snick4000,English (US),Spanish (Spain)
trodriguez9,Spanish (Spain),"English (US),French (France),German,Italian,Russian,English (UK)"
Cesarjic,Spanish (Colombia),"English (US),French (France),German"
AshaDC,"English (US),Spanish (Mexico)","German,Japanese"
adettefabillar21,English (US),Spanish (Spain)
Lana7432,Russian,Norwegian (nynorsk)
mc172011,Vietnamese,English (US)
monikad,Polish,"English (UK),English (US),Japanese"
algarinjeninag,Tagalog,"Arabic,English (US),French (France),German,Italian,Japanese,Korean,Simplified Chinese (China),Spanish (Spain),Tagalog,Traditional Chinese (Taiwan)"
paulinkaLondynok,Polish,"English (US),German"
saltanovak2002,Russian,English (US)
Jonathan8,Spanish (Spain),"English (US),Japanese"
jagna14,Polish,"English (UK),French (France),Spanish (Spain),Vietnamese"
Koala27,English (US),"French (France),Japanese,Spanish (Spain)"
annieryk,Russian,English (UK)
ellocomarv,Spanish (Spain),"English (US),Japanese"
Madu1713,Portuguese (Portugal),Korean
Daniela_Gomez,Spanish (Colombia),Italian
catcat840205,Traditional Chinese (Taiwan),"English (US),Japanese"
Vusal1,"Azerbaijani,Turkish","English (UK),Spanish (Spain),Russian"
ilvyChem,Simplified Chinese (China),"Japanese,English (UK),English (US)"
nathan7,Korean,"English (US),English (UK)"
maryllmarin803,"English (US),Tagalog","Dutch,French (Canada),Italian,Japanese,Spanish (Spain)"
Atheerr,Arabic,English (US)
guikdiego95,Spanish (Colombia),English (US)
J_C,"Portuguese (Brazil),English (US)","French (France),Korean,Portuguese (Portugal),German,Japanese,Simplified Chinese (China),Traditional Chinese (Taiwan)"
dsuganaputri,Indonesian,English (US)
IharValovich,Russian,"Polish,English (UK)"
ghibly,English (US),"French (France),Japanese,Arabic,Italian,Portuguese (Brazil),Thai"
Eric-gz,English (US),English (US)
rachelbostwick,English (US),Spanish (Spain)
yell,Russian,"English (UK),German"
rachelbostwick,English (US),Spanish (Spain)
mas772,English (US),"English (US),Japanese"
Nurai0595,"Kazakh,Russian",English (US)
jeelen,English (US),"Croatian,Danish,English (US),French (Canada),Spanish (Mexico)"
melovinick852,Russian,"English (US),Norwegian (nynorsk)"
nick-wang,Simplified Chinese (China),English (US)
czdarek,Polish,English (US)
kus600,English (US),Polish
mlolcia,Polish,"English (UK),Japanese"
Wiktoria434,Polish,"English (US),Japanese"
robinsonrdms,Spanish (Spain),English (US)
OlgaEtman,Russian,"Korean,English (UK),Japanese,Simplified Chinese (China)"
PlegutsaV,"Belarusian,Russian","English (US),Korean"
Madiaaq,Polish,English (US)
7spNKUb6k8lXM5k,Japanese,"English (UK),French (France),Simplified Chinese (China)"
julkix9,"Polish,English (UK)","German,Japanese,Norwegian (bokmal),Norwegian (nynorsk)"
amaurybc,Spanish (Spain),English (US)
harmesss,Polish,"English (US),Japanese,Korean"
Suguru26,Japanese,English (US)
nepochatyjl,Spanish (Spain),Japanese
Yaroslava_Trincanu,Russian,"English (US),French (France),Romanian"
fotograficzne2012,English (UK),Polish
ichizhova05,Russian,"English (UK),French (France),Serbian,Spanish (Venezuela)"
mariaclarakandler,Portuguese (Brazil),"English (US),Korean"
nt16732,Traditional Chinese (Taiwan),"English (US),Japanese"
faticagd,"Portuguese (Portugal),Spanish (Venezuela)","English (UK),French (France)"
wakize,French (France),Japanese
zelenowalena2010,Russian,"English (US),Korean"
daria0427,Russian,"Korean,English (UK)"
AlMeRi,Russian,English (US)
smookus,Polish,Czech
calus,Spanish (Spain),"English (UK),Italian"
eswar,"English (UK),English (US),Hindi,Telugu","English (UK),English (US)"
okach,Russian,English (US)
Muts_,Turkish,Japanese
Muts_,Turkish,Japanese
jazminlopez,Spanish (Spain),"English (US),Portuguese (Brazil)"
tado2,Polish,"English (UK),Russian"
ibraalmou,Arabic,English (UK)
yutingggggggytw,Traditional Chinese (Taiwan),Korean
defektoskopec,Russian,Japanese
bhgrace,"English (US),Tagalog","English (US),Italian,Japanese,Korean,Spanish (Spain)"
mike91,English (UK),German
xsxxap,Polish,English (US)
Astaroth77,Polish,"English (US),Japanese,Spanish (Spain)"
doina92,Italian,English (US)
itsmaria,Spanish (Spain),"English (US),French (France),German"
JoelCL,"Catalan,Spanish (Spain)","English (US),Japanese"
Arniesz,"English (UK),Portuguese (Brazil),Spanish (Colombia)",Japanese
LyohA,Russian,English (UK)
iamvika,"English (US),Russian","English (UK),English (US)"
Kirari0428,Japanese,English (US)
airinmoon,"Kazakh,Russian","English (UK),English (US)"
blackkitty666,Polish,"English (US),German"
iMoviegoer,Simplified Chinese (China),"English (US),Japanese"
XimenaNicole09,Spanish (Mexico),Korean
pshesto,"English (UK),Polish","Czech,Mongolian,Romanian,Russian"
nurayisgandar,Azerbaijani,English (UK)
shmou5_11,Arabic,English (US)
aoeni,Russian,"English (UK),English (US),Korean"
stuntuev,Russian,Japanese
dkulikova52,Russian,English (US)
Rovsh,Russian,English (US)
Mika37,Polish,English (US)
kseco,"English (US),French (Canada)","Japanese,Korean"
ericklunita64,Spanish (Spain),English (US)
phoenixLin,"English (US),Tagalog","Italian,Japanese,Korean,Simplified Chinese (China),Spanish (Spain),Traditional Chinese (Hong Kong)"
luis02701,Spanish (Spain),English (UK)
ginji,English (US),"Simplified Chinese (China),Spanish (Spain)"
adelinakas,"English (US),French (France),Russian",English (US)
sviridovamaria97,Russian,English (US)
Bin_Chen,Traditional Chinese (Taiwan),English (US)
danaham,"English (US),Tagalog",Arabic
nikttaki,Polish,"English (US),Japanese,Simplified Chinese (China)"
divalp,English (US),English (US)
LillianJacky,Simplified Chinese (China),"English (US),Korean"
cotyugina,Russian,"English (US),Korean"
Romain-Russe,Russian,French (France)
amorypaz000,Japanese,English (US)
kevindragonballz,Spanish (Spain),"English (US),French (France),German,Portuguese (Brazil)"
mersiandmollypolish,Polish,"English (UK),Italian,Spanish (Spain),Swedish"
aznabaeva2013,Russian,Korean
jmy0110,Russian,"English (US),Korean"
Ricardo03,Spanish (Venezuela),"English (US),German,Italian,Japanese"
rosymiranda30,Spanish (Mexico),"English (UK),English (US),Italian,Portuguese (Brazil)"
paolocparrera,"English (US),Tagalog","Arabic,Spanish (Spain)"
adelacastro668,Spanish (Mexico),English (US)
dominikakarkus,Polish,"English (UK),English (US),French (France),German,Spanish (Mexico),Spanish (Spain)"
Caramba,Polish,"Arabic,English (US),Greek,Irish,Vietnamese"
jaworskijakub40,Polish,English (US)
ManonAnneC,French (France),"English (UK),Korean,Spanish (Spain)"
1dominika2345,Polish,"English (UK),Spanish (Spain)"
houseefly,Polish,"English (UK),German"
sylwesterkudla,Polish,German
SoniaJiseth63,Spanish (Colombia),Korean
sasha32,Russian,English (UK)
tobyhcc,Traditional Chinese (Hong Kong),"English (US),Korean"
Pulga,Portuguese (Brazil),"English (US),French (France),Italian,Spanish (Spain)"
raddeh,English (UK),"French (Canada),French (France),Spanish (Chile),Spanish (Colombia),Spanish (Mexico),Spanish (Spain)"
Tanastasis,Russian,"French (France),Japanese"
kate14,Russian,English (US)
ChuehPH,Traditional Chinese (Taiwan),Japanese
Flo123,Spanish (Chile),English (US)
armlessdinosaur,Polish,English (US)
luciag,Spanish (Spain),"English (UK),English (US)"
arleen8,English (US),"English (US),French (France),Japanese"
arrariani,Indonesian,"Arabic,English (US),Japanese,Korean,Turkish"
sjeong,Traditional Chinese (Hong Kong),Korean
wweronika003,Polish,"Belarusian,English (UK),English (US),French (France),Vietnamese"
danyglarcher,German,"English (UK),French (France),Italian,Japanese"
nancyquintanar01,Spanish (Spain),English (US)
Eduardo792,Spanish (Mexico),"English (US),French (France),German,Italian,Japanese,Norwegian (bokmal),Russian"
Hebe16,Polish,English (US)
chnynnpsttxix,"English (US),Tagalog","French (France),Hindi,Italian,Punjabi,Spanish (Spain)"
ricoerick,Spanish (Mexico),English (US)
doctor1988,Russian,English (US)
Arina162,Russian,"English (US),Norwegian (bokmal),Norwegian (nynorsk)"
liw0803,Traditional Chinese (Taiwan),English (US)
fer1307,Spanish (Mexico),"English (UK),English (US),French (France)"
Thealmice,Polish,"English (US),German"
gleicepcouto,Portuguese (Brazil),"English (US),Korean"
flaviomaurilio0,Portuguese (Brazil),Japanese
suzanne2401,Polish,"English (UK),French (France),German"
Dyfto,Polish,"English (UK),Russian"
anjaliekka48,"Hindi,English (US)",Korean
AllanBr,Portuguese (Brazil),"English (US),Spanish (Colombia)"
wagnermonis,Portuguese (Brazil),English (US)
izabelaferreira54,Portuguese (Brazil),English (US)
exedy96,Polish,English (US)
dksiem,Russian,English (US)
rmbuan,"English (US),Tagalog","Belarusian,French (Canada),Italian,Japanese,Portuguese (Portugal),Russian,Spanish (Spain)"
ziminskaweronika,Polish,English (US)
millactorres,Spanish (Chile),"English (UK),English (US)"
terezakosolapova,Ukrainian,English (US)
Dno0sha,Arabic,English (US)
rezibinn,Simplified Chinese (China),Japanese
dvelandiar02,Spanish (Spain),Japanese
iafmaminason667,Russian,Korean
sky77777,Korean,English (US)
Pattyhill,Tagalog,"Danish,Italian,Russian"
juliapentri,Russian,"English (US),German,Spanish (Spain),English (UK)"
dawidli2,Polish,"English (US),German"
Cris23,Spanish (Spain),English (US)
yjyj,Korean,English (US)
jiratiwat_TH,Thai,"English (US),German"
almatyelena,Russian,Korean
Aleksandra9999,Polish,"Arabic,English (UK),Japanese"
BernardG,English (US),English (US)
soltivikss,Turkish,"English (US),German,Korean"
3rdy,"English (US),Tagalog","Arabic,French (France),Hindi,Spanish (Colombia)"
mari2000,Russian,English (UK)
jakubczak,Polish,"English (US),Japanese,Spanish (Spain)"
wiktorporemba,Polish,English (US)
kinskins0725,"English (US),Tagalog","Arabic,French (France),Polish,Spanish (Spain)"
natalia456,English (US),English (US)
WolfieGames,Polish,"Croatian,English (UK),Ukrainian"
dariagg,"German,Polish","Dutch,English (US),French (France)"
Ermin,Spanish (Colombia),Korean
ivanfeliciano,"English (US),Tagalog","French (France),German,Hebrew"
stivartur,Russian,Arabic
bal_s,Arabic,Turkish
asanovakarina,"Russian,Kazakh","English (US),Spanish (Spain)"
rafabach,Portuguese (Brazil),Korean
FraydisLannister,Russian,English (US)
mycmoto,English (US),Hindi
mingazovmarat11108,Russian,"Czech,English (US)"
Gaptica,Russian,English (UK)
